source,text,url,sentiment_label,sentiment_score
The Verge,"AMD, Department of Energy announce $1 billion AI supercomputer partnership. AMD has sealed a $1 billion deal with the US Department of Energy to develop two supercomputers, Lux and Discovery, in collaboration with Oracle and Hewlett Packard Enterprise (HPE). Both supercomputers will live at Oak Ridge National Laboratory (ORNL) in Oak…",https://www.theverge.com/news/807483/amd-department-of-energy-announce-1-billion-ai-supercomputer-partnership,Positive,0.85
The Verge,"The US has a new roadmap for fusion energy, without the funds to back it up. The Department of Energy (DOE) released a new roadmap for the US to realize the decades-long dream of harnessing fusion energy. It’s a commitment to support research and development efforts and pursue public-private partnerships to finally build the first gen…",https://www.theverge.com/news/802070/nuclear-fusion-energy-ai-trump-roadmap,Neutral,-0.15
WKRG News 5,"Gulf Shores City Schools receives competitive grant for three-year learning initiative. GULF SHORES, Ala. (WKRG) — Gulf Shores City Schools has been awarded a substantial and competitive grant for its “Alabama Gulf Coast Resiliency Project...",https://www.wkrg.com/baldwin-county/gulf-shores-city-schools-receives-competitive-grant-for-three-year-learning-initiative/,Positive,0.9
Yanko Design,"LEGO Ideas brings The Evolution of STEM to celebrate innovation. LEGO Ideas brings The Evolution of STEM to celebrate innovationI am not, and probably never will be, a STEM (science, technology, engineering, and math) person, as I lean more toward the arts and humanities....",https://www.yankodesign.com/2025/09/30/lego-ideas-brings-the-evolution-of-stem-to-celebrate-innovation/,Positive,0.75
Gizmodo.com,"6 Times Einstein Missed the Mark, but Still Changed Physics. Einstein was a great thinker who made plenty of mistakes—errors that sometimes led to more meaningful discoveries in physics, long after his passing.",https://gizmodo.com/6-times-einstein-missed-the-mark-but-still-changed-physics-2000674428,Neutral,0.05
Gizmodo.com,"Scientists Team Up With Michelin Chefs to Recreate Ancient Yogurt—With Ants. According to an old Bulgarian tradition, some ants are the perfect, all-natural yogurt-making machines.",https://gizmodo.com/scientists-team-up-with-michelin-chefs-to-recreate-ancient-yogurt-with-ants-2000667248,Positive,0.6
Science Daily,"Scientists grow mini human livers that predict toxic drug reactions. A new human liver organoid microarray developed by Cincinnati Children’s and Roche recreates immune-driven liver injury in the lab. Built from patient-derived stem cells and immune cells, it accurately models how genetics influence drug reactions. The system …",https://www.sciencedaily.com/releases/2025/10/251015032259.htm,Positive,0.8
Business Insider,"Meet Lisa Su: CEO and president of Advanced Micro Devices, the main competitor to Nvidia. Lisa Su is the CEO behind AMD's meteoric rise, with the ambition to lead the AI chips industry and become a formidable rival to Nvidia.",https://www.businessinsider.com/meet-lisa-su-ceo-and-president-of-advanced-micro-device,Positive,0.9
Huggingface.co,Sentence Transformers is joining Hugging Face. We’re on a journey to advance and democratize artificial intelligence through open source and open science.,https://huggingface.co/blog/sentence-transformers-joins-hf,Positive,0.9
Substack.com,The Hunt for Huntington's. How one daughter’s rebellion against fate drove a scientific revolution,https://nehalslearnings.substack.com/p/the-hunt-for-huntingtons,Positive,0.7
