source,text,url,predicted_sentiment,sentiment_score
Newsdata.io,"‘Drastic Dave’ Returns, Former Tesco Boss Dave Lewis Named New CEO to Revive Diageo’s Faltering Growth. Diageo, the world’s largest spirits company, has appointed former Tesco chief executive Dave Lewis as its new CEO, ending months of speculation over who would take the helm amid mounting investor pressure to revive the group’s declining fortunes. Lewis, 60, will officially join the maker of Johnnie Walker whisky and Guinness beer in January 2026, [...]The post ‘Drastic Dave’ Returns, Former Tesco Boss Dave Lewis Named New CEO to Revive Diageo’s Faltering Growth appeared first on Tekedia.",https://www.tekedia.com/drastic-dave-returns-former-tesco-boss-dave-lewis-named-new-ceo-to-revive-diageos-faltering-growth/,Neutral,0.15
Newsdata.io,"Amazon’s ‘House of David’ doubles down on AI, utilizing over 350 shots in new season. In its second season, Amazon's 'House of David' significantly increased its use of AI technology, incorporating over 350 AI-generated shots, particularly in battle scenes. The show's creator defended this choice, emphasizing the creative possibilities that AI offers for storytelling. This move highlights a growing trend in the entertainment industry, where AI is becoming an integral tool in production processes.The post Amazon’s ‘House of David’ doubles down on AI, utilizing over 350 shots in new season appeared first on NextBigWhat.",https://nextbigwhat.com/amazons-house-of-david-doubles-down-on-ai-utilizing-over-350-shots-in-new-season/,Neutral,0.3
Newsdata.io,"Philippine rice supply chain gets boost with new complex. By: Jordeene B. Lagare – Reporter / @jordeenelagare MANILA, Philippines – The Philippine and Korean governments inaugurated new rice seed processing and cold storage facilities in Nueva Ecija that the Philippine Rice Research Institute (PhilRice) said would enhance the country’s rice supply chain. PhilRice said these facilities would help reduce postharvest losses, speed up processing and ensure the [...]The post Philippine rice supply chain gets boost with new complex appeared first on Rice News Today.",https://ricenewstoday.com/philippine-rice-supply-chain-gets-boost-with-new-complex/,Positive,0.9
Newsdata.io,"Stocks to buy: Raja Venkatraman's top picks for 11 November. Market expert Raja Venkatraman shares his top three stock picks to buy today, 11 November. Discover his exclusive picks and analysis to inform your investment strategy.",https://www.livemint.com/market/stock-market-news/stocks-to-buy-raja-venkatraman-top-picks-11-november-11762782345036.html,Positive,0.85
Newsdata.io,’National Skill Training Institute in Chennai to get ₹200-crore upgrade under PM Setu’. Chennai's National Skill Training Institute to receive ₹200 crore upgrade to become a Centre of Excellence under PM Setu.,https://www.thehindu.com/news/cities/chennai/national-skill-training-institute-in-chennai-to-get-200-crore-upgrade-under-pm-setu/article70263239.ece,Positive,0.9
Newsdata.io,"6sense founder secures $30 million for AI-driven sales startup 1mind. Amanda Kahlow, the founder of 6sense, has raised $30 million for her new venture, 1mind, which aims to revolutionize sales and marketing through AI technology. Operating in stealth mode for the past year, 1mind focuses on developing tools that could potentially replace human roles in sales processes. This significant funding round underscores growing investor confidence in AI solutions within the sales sector.The post 6sense founder secures $30 million for AI-driven sales startup 1mind appeared first on NextBigWhat.",https://nextbigwhat.com/6sense-founder-secures-30-million-for-ai-driven-sales-startup-1mind/,Positive,0.85
Newsdata.io,"Monimichelle Vindicated by World Cup Playoffs on Morocco’s Hybrid Turf. *Urges Nigeria’s football authorities to adopt hybrid turf technologies Duro Ikhazuagbe Nigeria’s foremost stadium turf expert, Ebi Egbe, has said that he’s vindicated by the decision of the Confederation of",https://www.thisdaylive.com/2025/11/11/monimichelle-vindicated-by-world-cup-playoffs-on-moroccos-hybrid-turf/,Positive,0.8
Newsdata.io,Google Maps introduces AI-powered tools for interactive project creation. Google has launched innovative AI tools for Google Maps that allow users to generate code for creating interactive map projects. This development aims to empower developers and non-developers alike to design customized mapping experiences. The introduction of these tools could significantly enhance user engagement and creativity on the platform.The post Google Maps introduces AI-powered tools for interactive project creation appeared first on NextBigWhat.,https://nextbigwhat.com/google-maps-introduces-ai-powered-tools-for-interactive-project-creation/,Positive,0.85
Newsdata.io,"India News | J-K: Shopian Police File 13 Bail Cancellation Applications in UAPA Cases. Get latest articles and stories on India at LatestLY. The action was initiated after it was discovered that several accused persons, who had been granted bail by competent courts, were violating their bail conditions and engaging in activities detrimental to public order and security. These violations were documented during regular surveillance and review of UAPA cases by the police.",https://www.latestly.com/agency-news/india-news-j-k-shopian-police-file-13-bail-cancellation-applications-in-uapa-cases-7199631.html,Neutral,-0.15
Newsdata.io,"Wikipedia calls for AI firms to adopt paid API amid scraping concerns. Wikipedia is urging artificial intelligence companies to utilize its paid API instead of scraping its content, as it seeks to sustain operations in a challenging digital landscape marked by declining traffic. The nonprofit encyclopedia aims to protect its resources and ensure fair compensation for the use of its data. This move highlights the growing tension between content providers and AI developers over the ethical use of online information.The post Wikipedia calls for AI firms to adopt paid API amid scraping concerns appeared first on NextBigWhat.",https://nextbigwhat.com/wikipedia-calls-for-ai-firms-to-adopt-paid-api-amid-scraping-concerns/,Neutral,-0.15
