source,text,url,sentiment_label,sentiment_score
Wired,AI Is the Bubble to Burst Them All. I talked to the scholars who literally wrote the book on tech bubbles—and applied their test.,https://www.wired.com/story/ai-bubble-will-burst/,Negative,-0.8
Wired,"Mark Cuban Would Still Have Dinner With Donald Trump. The billionaire investor campaigned for Kamala Harris, but thinks tech execs have a “moral imperative” to play nice with the president. Why? It’s good business.",https://www.wired.com/story/the-big-interview-podcast-mark-cuban-cost-plus-drug-company/,Neutral,0.2
Wired,"‘Sovereign AI’ Has Become a New Front in the US-China Tech War. OpenAI has announced “AI sovereignty"" partnerships with governments around the world, but can proprietary models compete with Beijing’s open source offerings?",https://www.wired.com/story/openai-sovereign-ai-us-china-tech-war/,Negative,-0.6
The Verge,"Larry Ellison’s quest to run the world. For most of his career Larry Ellison has been content to quietly let Oracle be the company, behind the company, behind the technology that makes headlines. Its biggest products being cloud computing and database products that it sells to enterprise customers …",https://www.theverge.com/tech/787051/larry-ellison-tiktok-quest-to-run-the-world,Neutral,0.1
The Verge,"Verizon buys the not-quite-5G wireless ISP Starry to expand wireless broadband. Verizon is acquiring Starry, the ISP that delivers home internet using antennas and millimeter wave technology. The acquisition “advances” Verizon’s ability to offer high-speed internet in apartments, condominiums, and other multi-dwelling units, the company …",https://www.theverge.com/news/796693/verizon-starry-acquisition-wireless-internet-mmwave,Positive,0.7
Wired,"AI Is Not God. In recent times, there have been two techno-religious awakenings. Here comes the third?",https://www.wired.com/story/ai-religion-new-church-find-god/,Neutral,-0.2
Gizmodo.com,Tech Bros Are Obsessed With Statue-Maxxing. Markers of a dying empire.,https://gizmodo.com/tech-bros-are-obsessed-with-statue-maxxing-2000673718,Negative,-0.8
The Verge,"An eye implant and smart glasses restore some lost vision. Several dozen patients regained some of their vision thanks to an implant inside their eye paired with a set of smart glasses. The study was published Monday in The New England Journal of Medicine, and researchers report that patients could see well enough us…",https://www.theverge.com/news/802905/eye-implant-smart-glasses-restores-vision,Positive,0.9
Business Insider,TikTok's US sale shows DC and Beijing can still bargain on tech — but don't expect a repeat deal anytime soon. Analysts told BI TikTok's $14 billion deal secures its US future and signals a middle ground in the fraught US-China tech rivalry.,https://www.businessinsider.com/tiktok-us-sale-trump-china-tech-rivalry-ban-bargaining-2025-9,Positive,0.7
The Verge,"Amazon claims the headline isn’t robots taking jobs as it reveals new cost-cutting robots. A New York Times report on Tuesday cited internal Amazon documents touting how its shift into automation could help it sell more products without hiring more people, but today the company has issued a PR blast about robotics and delivery tech that is much sun…",https://www.theverge.com/news/805098/amazon-robots-ai-warehouses,Negative,-0.6
The Verge,"Fictional gadget reviews: exploring the latest in fantasy and sci-fi tech. Modern gadgets are all well and good, but sometimes things get more exciting when you enter the realm of fantasy. And the worlds of gaming, TV, and film often feature extremely cool gadgets that we just wish were real, whether it’s an impossible VR headset or…",https://www.theverge.com/entertainment/801966/fictional-gadget-reviews,Positive,0.85
The Verge,"Aura’s first color E Ink frame is for the cord-averse. Aura, maker of digital photo frames beloved by grandparents everywhere, is introducing its first frame with a color E Ink display. The Aura Ink uses a 13.3-inch E Ink Spectra 6 panel and is designed to live on your wall for months at a time before it needs a …",https://www.theverge.com/tech/803173/aura-e-ink-digital-photo-frame,Neutral,0.2
CNET,"Meta Ray-Ban Display Glasses Review: Halfway to the Future. Meta's next-level smart glasses include some incredible new technology, but there are still lots of missing pieces.",https://www.cnet.com/tech/computing/meta-ray-ban-display-glasses-review-my-life-as-a-cyborg/,Neutral,0.0
The Verge,"My other car is a cargo bike. The vehicle of the future is electric. It's good for the environment. It has enough room for your stuff, as long as you're coming from the grocery and not the furniture store. It's fast, it has super-responsive steering, and you can park it basically anywhere…",https://www.theverge.com/podcast/788307/electric-cargo-bikes-google-antitrust-vergecast,Positive,0.9
The Verge,"Google’s extreme smart home makeover. Google has a long history of building something interesting, making a lot of big promises about its future, then seemingly forgetting it exists and killing it a few months or years later. Over the last few years, you'd be forgiven for thinking the smart home …",https://www.theverge.com/podcast/794067/google-smart-home-gemini-peloton-ai-vergecast,Negative,-0.75
BBC News,Apple and Samsung users could be due share of £480m payout. Consumer group Which? is taking tech giant Qualcomm to the Competition Appeal Tribunal in London on Monday.,https://www.bbc.com/news/articles/cn0rn7rwk24o,Positive,0.6
BBC News,How China is challenging Nvidia's AI chip dominance. Beijing has urged local firms to use homemade chips. But is China ready to turn away from Nvidia?,https://www.bbc.com/news/articles/cgmz2vm3yv8o,Neutral,0.0
The Verge,"Meet Mico, Microsoft’s AI version of Clippy. It’s been nearly 30 years since Microsoft’s Office assistant, Clippy, first graced our screens as an annoying paperclip. After the Groucho-browed interruptions of Clippy came to an end in 2001 with Office XP, Microsoft tried to revive the spirit of an assista…",https://www.theverge.com/news/804106/microsoft-mico-copilot-ai-assistant-clippy,Negative,-0.3
The Verge,"Tech left teens fighting over scraps, and now it wants those too. Right now, there are robots stocking convenience store shelves in Japan. We haven't embraced that tech here in America yet, but it's hard to imagine 7-11 or Walmart won't at least experiment with it soon. Walmart gave up on its shelf-scanning robots in 2020, …",https://www.theverge.com/report/806728/tech-left-teens-fighting-over-scraps-robots-taking-jobs,Negative,-0.7
Harvard Business Review,Four Strategic Signals Technology Leaders Are Tuning In To - SPONSOR CONTENT FROM ARM. Sponsor content from ARM.,https://hbr.org/sponsored/2025/09/four-strategic-signals-technology-leaders-are-tuning-in-to,Positive,0.5
The Verge,"Nike designed new gear to keep athletes cool in a warming world. Nike is showing off new performance apparel today that it says it designed with climate change in mind. It introduced its new Aero-FIT performance cooling technology today, which it says will make its debut in football kits Nike federations wear in 2026.  The…",https://www.theverge.com/news/805823/nike-peformance-apparel-heat-football,Positive,0.85
The Verge,"The future I saw through the Meta Ray-Ban Display amazes and terrifies me. Outside a florist-cum-coffee shop in upstate New York, a row of vintage cars gleam in the sun. It's unseasonably warm for early October, so there's a veritable crowd of car enthusiasts snapping photos of Ferraris, Porsches, and a vintage Alfa Romeo. Patient g…",https://www.theverge.com/tech/801684/meta-ray-ban-display-review-smart-glasses-ai-wearables,Neutral,0.0
Fox News,"Fox News AI Newsletter: Dems demand 'robot tax'. The Fox News Artificial Intelligence Newsletter brings you the latest news on the emerging technology every Saturday, highlighting top stories.",https://www.foxnews.com/tech/ai-newsletter-dems-demand-robot-tax,Neutral,0.0
The Verge,"Hollywood has no idea what to do about AI. This is an excerpt of Sources by Alex Heath, a newsletter about AI and the tech industry, syndicated just for The Verge subscribers once a week. This week, I got an up-close look at how far apart Silicon Valley and Hollywood are on what to do about AI. First,…",https://www.theverge.com/ai-artificial-intelligence/798496/hollywood-openai-training-netflix-paramount-warner,Negative,-0.5
Business Insider,"Meta told some employees their jobs are being replaced by tech — read the memo. An internal memo explaining the cuts said ""many routine decisions can now be handled efficiently by technology.""",https://www.businessinsider.com/meta-job-cuts-risk-org-replaced-by-tech-layoffs-2025-10,Negative,-0.85
Wired,"Rise of the Killer Chatbots. On an airstrip somewhere in Texas, a swarm of killer jets approaches—controlled by, of all things, a large language model.",https://www.wired.com/story/ai-weapon-anduril-llms-drones/,Negative,-0.8
The Verge,"California enacts its own internet age-gating law. California joins a growing group of states with a new internet age-gating law after Gov. Gavin Newsom (D) signed AB 1043, the Digital Age Assurance Act. The law mandates that device operating systems and app stores require users to enter their age or date of …",https://www.theverge.com/news/798871/california-governor-newsom-age-gating-ab-1043,Neutral,0.0
BBC News,"X-ray tables, high-tech glasses, NBA players: How a poker scheme allegedly stole millions. Prosecutors said the elaborate plot - which allegedly netted $7 million from victims - belonged in a Hollywood film.",https://www.bbc.com/news/articles/cz6nd9wnzn6o,Negative,-0.7
The Verge,"Microsoft is giving Copilot AI faces you can chat with. Microsoft is trying to make Copilot more approachable by giving the AI assistant an animated face to talk with. The experimental “Portraits” feature in Copilot Labs is currently available in the US, UK, and Canada, and provides 40 stylized human avatars that …",https://www.theverge.com/news/788741/microsoft-copilot-labs-ai-portraits-experiment-human-avatar,Positive,0.6
The Verge,"Amazon wants to buy ‘thousands’ of Rivian’s pedal-assist cargo bikes. Amazon and Rivian are back together again. The e-commerce giant is collaborating with Rivian’s Also spinoff on a custom-designed, pedal-assisted, four-wheel cargo bike. The bike would likely be based on the TM-Q quad vehicle that was unveiled by Also today in…",https://www.theverge.com/news/804889/amazon-rivian-also-tmq-quad-ebike-delivery,Positive,0.7
BBC News,Tech billionaires seem to be doom prepping. Should we all be worried?. The debate is ramping up about what happens if - or when - computer intelligence overtakes humans,https://www.bbc.com/news/articles/cly17834524o,Negative,-0.75
Wired,"Apple and Google Pull ICE-Tracking Apps, Bowing to DOJ Pressure. Plus: China sentences scam bosses to death, Europe is ramping up its plans to build a “drone wall” to protect against Russian airspace violations, and more.",https://www.wired.com/story/apple-and-google-pull-ice-tracking-apps-bowing-to-doj-pressure/,Negative,-0.8
Android Central,"Exclusive: The road to AI — How it will transform our relationship with technology. In this exclusive collaboration, Android Central and IDC discuss the future of AI and its role in our lives.",https://www.androidcentral.com/apps-software/ai/exclusive-how-ai-will-transform-our-relationship-with-technology,Positive,0.7
Business Insider,Jensen Huang name-checks 6 AI companies — and says 100% of Nvidia engineers use one of them. Six AI startups are part of Jensen Huang's future vision for human-agentic AI workforces.,https://www.businessinsider.com/jensen-huang-hot-ai-startups-nvidia-vibe-coding-cursor-openai-2025-10,Neutral,0.2
Wired,The Long Tail of the AWS Outage. Experts say outages like the one that Amazon experienced this week are almost inevitable given the complexity and scale of cloud technology—but the duration serves as a warning.,https://www.wired.com/story/aws-cloud-outage-long-tail/,Negative,-0.65
Wired,The Worst Thing About AI Is That People Can’t Shut Up About It. A plea from WIRED’s top boss: Say less.,https://www.wired.com/story/ai-journalism-worst-thing-about-ai/,Negative,-0.6
Business Insider,"Fifth-gen fighters like the F-35 are now the bare minimum needed to get the edge in a modern air war, Royal Air Force officer says. Current fights show how tough the air war is getting, a Royal Air Force officer said. That's why sixth-gen tech is needed as soon as possible.",https://www.businessinsider.com/fifth-gen-fighters-like-f-35-are-bare-minimum-raf-2025-10,Neutral,-0.1
The Verge,"Bose is yanking key features from its SoundTouch speakers. Bose is discontinuing support for the cloud-based features available on its SoundTouch products on February 18th, 2026. “After February 18, certain features — including access to integrated music services like Spotify and TuneIn, as well as multi-room playbac…",https://www.theverge.com/news/798501/bose-soundtouch-speakers-cloud-discontinue-shut-down,Negative,-0.8
The Verge,"GM says hands-free, eyes-off driving is coming to Escalade IQ in 2028. General Motors may be shrinking its electric vehicle production, but the automaker wants investors to know its still committed to future technologies like automated driving, software-defined vehicles, and AI voice assistants. Today, GM CEO Mary Barra announce…",https://www.theverge.com/news/802452/gm-forward-ai-robot-level-3-autonomous,Positive,0.6
Gizmodo.com,"AI Won’t Replace Jobs, but Tech Bros Want You to Be Afraid It Will. He also thinks the AI bubble burst is going to make 2008 feel like ""a golden age.""",https://gizmodo.com/ai-wont-replace-jobs-tech-bros-want-you-terrified-2000670808,Negative,-0.9
